triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,build_success
T11_p14,8,int8_pc_wo,D1_default_4gb,-1,0.503,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T11_p14,8,int8_pt_wa_ent,D1_default_4gb,-1,0.3694,,plan4_phaseA_phaseCstage1,64,64,256,0.1428571428571429,True
T12_p21,8,fp32,D1_default_4gb,-1,0.5134,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,fp16,D1_default_4gb,-1,0.5137,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5132,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,int8_pc_wo,D1_default_4gb,-1,0.5133,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T12_p21,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4454,,plan4_phaseA_phaseCstage1,32,64,256,0.2142857142857143,True
T13_p29,8,fp32,D1_default_4gb,-1,0.5147,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,fp16,D1_default_4gb,-1,0.5152,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5107,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,int8_pc_wo,D1_default_4gb,-1,0.5106,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T13_p29,8,int8_pt_wa_ent,D1_default_4gb,-1,0.4907,,plan4_phaseA_phaseCstage1,32,32,256,0.2857142857142857,True
T14_p36,8,fp32,D1_default_4gb,-1,0.5439,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,fp16,D1_default_4gb,-1,0.5439,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,int8_pt_wa_mm,D1_default_4gb,-1,0.5408,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,int8_pc_wo,D1_default_4gb,-1,0.5432,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T14_p36,8,int8_pt_wa_ent,D1_default_4gb,-1,0.0089,,plan4_phaseA_phaseCstage1,16,16,256,0.3571428571428571,True
T15_p39,8,fp32,D1_default_4gb,-1,0.5037,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,fp16,D1_default_4gb,-1,0.5034,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
T15_p39,8,int8_pt_wa_mm,D1_default_4gb,-1,0.4598,,plan4_phaseA_phaseCstage1,16,128,128,0.3928571428571429,True
