row_id,run_id,config_id,model,candidate_id,schedule_policy,latency_p50_ms,latency_min_ms,latency_max_ms,quality_flag,claim_status,reasons
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_p50_fp16_default:h800_tvm:calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_p50_fp16_default,pyramid_lidar,calibration:pyramid_lidar:p50,default,26.230501,26.23008,26.230871,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_trap25_fp16_default:h800_tvm:calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_trap25_fp16_default,pyramid_lidar,calibration:pyramid_lidar:trap25,default,42.326876,42.326172,42.327602,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_pad64_fp16_default:h800_tvm:calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926_default_schedule,calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926_default_schedule,calibration_h800_tvm_pyramid_pad64_fp16_default,pyramid_lidar,calibration:pyramid_lidar:pad64,default,47.371281,47.369983999999995,47.38841,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_p75_fp16_default:h800_tvm:calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_p75_fp16_default,pyramid_lidar,calibration:pyramid_lidar:p75,default,12.674736999999999,12.674200999999998,12.675296,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s0_fp16_default:h800_tvm:calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_iso_s0_fp16_default,pyramid_lidar,calibration:pyramid_lidar:iso_s0,default,51.191752,51.185547,51.206797,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s1_fp16_default:h800_tvm:calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_iso_s1_fp16_default,pyramid_lidar,calibration:pyramid_lidar:iso_s1,default,51.623512999999996,51.622363,51.626059,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s2_fp16_default:h800_tvm:calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_iso_s2_fp16_default,pyramid_lidar,calibration:pyramid_lidar:iso_s2,default,51.956699,51.955902,51.957477,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s2_128_fp16_default:h800_tvm:calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_s2_128_fp16_default,pyramid_lidar,calibration:pyramid_lidar:s2_128,default,61.399051,56.602105,62.989496,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_a_fp16_default:h800_tvm:calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323_default_schedule,calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323_default_schedule,calibration_h800_tvm_pyramid_mix_a_fp16_default,pyramid_lidar,calibration:pyramid_lidar:mix_a,default,35.793215,35.783688000000005,35.800523,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_mix_a_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323,calib_h800_tvm_pyramid_mix_a_fp16_medium_clean_g012_20260625_202323,calibration_h800_tvm_pyramid_mix_a_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:mix_a,metaschedule_tuned,5.658444,5.655797,5.660848,stable,claimable,
