tau,route,rep,status,ds,rc,pen,colped,colveh,collay,vblock
300,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,24,1,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
300,24,2,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
300,24,3,Completed,30.0,100.0,0.3,0.14142136702690314,0.14142136702690314,0.0,0.0
300,302,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,307,1,Completed,50.0,100.0,0.5,0.12053933626844889,0.0,0.0,0.0
300,307,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,307,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,310,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,310,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,325,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,325,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,326,1,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
300,326,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
300,326,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,0,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,0,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,7,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,7,2,Completed,25.0,100.0,0.25,0.28284271247461895,0.0,0.0,0.0
400,7,3,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
400,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,11,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,16,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,16,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,16,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,17,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,17,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,24,1,Completed,30.0,100.0,0.3,0.14142136702690314,0.14142136702690314,0.0,0.0
400,24,2,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
400,24,3,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
400,302,1,Completed,50.0,100.0,0.5,0.12053933292791054,0.0,0.0,0.0
400,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,307,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,307,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,307,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,310,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,310,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,325,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,325,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,326,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,326,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
400,326,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,0,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,0,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,0,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,1,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,1,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,1,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,5,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,5,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,5,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,7,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,7,2,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
500,7,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,11,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,11,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,11,3,Completed,50.0,100.0,0.5,0.14142135623730948,0.0,0.0,0.0
500,16,1,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
500,16,2,Completed,50.0,100.0,0.5,0.14142135758600868,0.0,0.0,0.0
500,16,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,17,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,17,2,Completed,50.0,100.0,0.5,0.14142135488861035,0.0,0.0,0.0
500,17,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,24,1,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
500,24,2,Completed,30.0,100.0,0.3,0.14142136702690314,0.14142136702690314,0.0,0.0
500,24,3,Completed,50.0,100.0,0.5,0.14142136702690314,0.0,0.0,0.0
500,302,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,302,2,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,302,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,307,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,307,2,Completed,50.0,100.0,0.5,0.12053933626844889,0.0,0.0,0.0
500,307,3,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,310,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
500,310,2,Completed,60.0,100.0,0.6,0.0,0.14142135623730948,0.0,0.0
500,310,3,Completed,60.0,100.0,0.6,0.0,0.14142135623730948,0.0,0.0
500,325,1,Completed,100.0,100.0,1.0,0.0,0.0,0.0,0.0
