config_id,source,is_pareto,est_amota,est_lat_e2e_ms,est_uncertainty,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
p1a_0030,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0031,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0032,a7_random,False,0.3234666666666667,544.5293333333333,0.021967450668862094,"d3_baseline_int8_2frame,v3_D1,d3_baseline_int8_1frame","1.414,1.414,1.414",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU
p1a_0033,a7_random,False,0.32986789969713637,409.42734091316777,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.732,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0034,a7_random,False,0.32986789969713637,409.42734091316777,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.732,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU
p1a_0035,a7_random,True,0.3613333333333334,244.00000000000003,0.02053181812591265,"bev_fp16_trt,all_fp16_trt,d3_baseline_fp16_2frame","1.732,1.732,1.732",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0036,a7_random,False,0.32986789969713637,409.42734091316777,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.732,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0037,a7_random,False,0.32465937120645316,401.9928148462934,0.0301404490123599,"v3_D2,v3_D3,all_fp16_trt","1.414,1.732,2.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0038,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.414,1.414,1.414",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0039,a7_random,True,0.3613333333333333,244.0,0.02053181812591265,"bev_fp16_trt,all_fp16_trt,d3_baseline_fp16_2frame","1.414,1.414,1.414",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0040,a7_random,False,0.329054064286953,412.7541238078443,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.414,1.732,1.732",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0041,a7_random,False,0.3111000571341067,524.7467118588405,0.02430779481748373,"v3_D2,all_fp16_trt,d3_baseline_fp16_2frame","0.000,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
p1a_0042,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0043,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0044,a7_random,False,0.32986789969713637,409.42734091316777,0.031691428914876446,"v3_D1,d3_baseline_fp16_2frame,all_fp16_trt","1.732,2.000,2.000",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0045,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.732,1.732,1.732",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0046,a7_random,False,0.3234666666666667,544.5293333333333,0.021967450668862094,"d3_baseline_int8_2frame,v3_D1,d3_baseline_int8_1frame","1.414,1.414,1.414",none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
p1a_0047,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0048,a7_random,False,0.3327001046058236,397.2797210211711,0.027796882319185846,"v3_D3,d3_baseline_fp16_2frame,all_fp16_trt","1.414,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0049,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.414,1.414,1.414",none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
