config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_v3_pyramid_0026,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.400000000000002,0.9587539272140053,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0027,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.64389,0.8357014331970457,channel,0.4,FPGM,FP32,none,none,GPU,0.297,L1,INT8,per-channel,W+A,GPU,0.05,L1,FP16,per-channel,W+A,GPU,0.125,L1,FP32,none,none,GPU,0.375,L1,FP32,none,none,GPU
m4_7_v3_pyramid_0028,pyramid_fusion,m4_7_v3_pyramid_pareto,False,30.200000000000003,0.9619024495773952,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
m4_7_v3_pyramid_0029,pyramid_fusion,m4_7_v3_pyramid_pareto,True,23.799999999999997,0.9585749593745996,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
m4_7_v3_pyramid_0030,pyramid_fusion,m4_7_v3_pyramid_pareto,False,23.316249999999997,0.641975157018295,channel,0.75,L1,INT8,per-channel,W-only,GPU,0.8,L1,FP16,per-channel,W+A,GPU,0.7,L1,FP32,none,none,GPU,0.5,L1,FP16,per-channel,W+A,GPU,0.625,L1,FP32,none,none,GPU
m4_7_v3_pyramid_0031,pyramid_fusion,m4_7_v3_pyramid_pareto,True,27.599999999999998,0.961993846229552,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_v3_pyramid_0032,pyramid_fusion,m4_7_v3_pyramid_pareto,True,25.099999999999994,0.9591702305703236,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
m4_7_v3_pyramid_0033,pyramid_fusion,m4_7_v3_pyramid_pareto,False,31.3,0.9603180021479927,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_v3_pyramid_0034,pyramid_fusion,m4_7_v3_pyramid_pareto,False,28.9,0.9590675107481155,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_v3_pyramid_0035,pyramid_fusion,m4_7_v3_pyramid_pareto,True,25.1,0.9605292219604749,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU
