config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_pyramid_0035,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU
m4_7_pyramid_0036,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0037,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU
m4_7_pyramid_0038,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0039,pyramid_fusion,m4_7_pyramid_pareto,False,2.531785223564232,1.2263424219783872,2.5002879989973312,2.1992790581097617,0.11702808612164403,0.09243589620860654,TBD: M4.5 OPV2V inference,"prune50_fp16,prune75_fp16,prune25_fp16","2.263,2.317,2.344",channel,0.7,L1,INT8,per-tensor,W+A,GPU,0.625,L1,INT8,per-tensor,W+A,GPU,0.55,L1,FP32,none,none,GPU,0.5,L1,INT8,per-tensor,W-only,GPU,0.25,L1,INT8,per-channel,W-only,GPU
m4_7_pyramid_0040,pyramid_fusion,m4_7_pyramid_pareto,True,2.4582488070919766,1.1548763417421173,2.430546159097495,2.1309394444245293,0.11362897232640788,0.08975106951109824,TBD: M4.5 OPV2V inference,"prune75_fp16,prune50_fp16,prune25_fp16","1.416,1.522,1.804",channel,0.75,FPGM,FP32,none,none,GPU,0.8,L1,INT8,per-channel,W+A,GPU,0.75,L1,FP16,per-tensor,W+A,GPU,0.7,L1,FP16,per-tensor,W-only,GPU,0.75,L1,FP16,per-tensor,W-only,GPU
m4_7_pyramid_0041,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_pyramid_0042,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0043,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0044,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0045,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0046,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
m4_7_pyramid_0047,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_pyramid_0048,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0049,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
