config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m5_6_uniad_tiny_0020,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9459340113608,100.36620348775051,506.4927622481253,496.05850387805236,24.680873467542728,19.494454141650635,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","2.236,2.236,2.250",none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0021,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9459340113608,100.36620348775051,506.4927622481253,496.05850387805236,24.680873467542728,19.494454141650635,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","2.236,2.236,2.250",none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0022,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,535.6637648692034,99.84619955547265,508.12195075648646,497.65493599744764,24.76027769808445,19.5571724296798,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_E4,v3_E5","2.236,2.250,2.291",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0023,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9599425964436,100.36691914625483,506.5060479716476,496.0715224794306,24.681520993994123,19.49496559740316,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","1.732,1.732,1.750",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0024,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,536.4231315438028,100.37931777245012,508.84213310403345,498.3606383919495,24.7953783171124,19.584897032250442,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D1,v3_E4","1.732,2.000,2.016",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0025,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,534.1996070225289,100.62777300000002,506.7333453956393,496.29424987190475,24.69259913318032,19.50371578513959,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D3,v3_D2,v3_D1","1.414,1.732,2.000",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0026,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,536.4231315438028,100.37931777245012,508.84213310403345,498.3606383919495,24.7953783171124,19.584897032250442,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D1,v3_E4","1.732,2.000,2.016",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0027,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,537.8988146977871,100.3842951006156,510.2416690510548,499.7320353338054,24.86358962256809,19.638774467661985,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D3,v3_E4","2.000,2.449,2.462",none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0028,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,522.9912201481541,99.87607646385902,496.10332614221267,485.8779572950371,24.17450776736832,19.094495731186097,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_E4,v3_E5","2.000,2.250,2.291",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0029,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,538.2257721721048,100.62777299999999,510.5517550862715,500.03588679350776,24.87870275582538,19.650711738991074,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D2,v3_D3","1.732,2.000,2.236",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0030,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,520.0687383974824,98.81035752432489,493.3316483240199,483.16200670315055,24.03942030306712,18.98779544031532,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_P1_20,v3_P1_30","1.414,1.755,1.783",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0031,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9459340113608,100.36620348775051,506.4927622481253,496.05850387805236,24.680873467542728,19.494454141650635,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","2.236,2.236,2.250",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0032,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,537.0537964524774,100.40877595009506,509.44025486738894,498.9467343467329,24.8245298843778,19.607922712113833,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D3,v3_E4","1.732,1.732,2.250",none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
