triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,in_predictor
T_g8_p97,8,int8_ent,optlow,-1,0.4814,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_ent,sparse,-1,0.4814,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_mm,optlow,-1,0.5098,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_mm,sparse,-1,0.5098,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pc_wo,optlow,-1,0.455,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,int8_pc_wo,sparse,-1,0.455,,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,4,fp32,default,0,0.5711338215459647,,v3_1.3,4,4,4,0.9732142857142857,False
T_g8_p97,4,fp32,default,1,0.5163507823757482,,v3_1.3,4,4,4,0.9732142857142857,False
T_g8_p97,4,fp32,default,2,0.5451768327455077,,v3_1.3,4,4,4,0.9732142857142857,False
T_g8_p97,4,fp32,default,3,0.5597703162674678,,v3_1.3,4,4,4,0.9732142857142857,False
T_g8_p97,4,fp32,default,4,0.5229850875121193,,v3_1.3,4,4,4,0.9732142857142857,False
T_g8_p87,4,fp16,default,-1,0.4895,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,4,int8_mm,default,-1,0.4871,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,4,int8_pc_wo,default,-1,0.4873,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,4,int8_ent,default,-1,0.3682,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,6,fp32,default,-1,0.567,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,6,fp16,default,-1,0.5665,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,6,int8_mm,default,-1,0.5544,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,6,int8_pc_wo,default,-1,0.553,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p87,6,int8_ent,default,-1,0.5119,,v3_7.11_ft_sweep,8,8,8,0.9464285714285714,False
T_g8_p93,4,fp16,default,-1,0.4942,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,4,int8_mm,default,-1,0.4942,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,4,int8_pc_wo,default,-1,0.4936,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,4,int8_ent,default,-1,0.4374,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,6,fp32,default,-1,0.5562,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,6,fp16,default,-1,0.5554,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,6,int8_mm,default,-1,0.551,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,6,int8_pc_wo,default,-1,0.5526,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p93,6,int8_ent,default,-1,0.5057,,v3_7.11_ft_sweep,8,4,4,0.9642857142857143,False
T_g8_p97,4,fp16,default,-1,0.3664,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,4,int8_mm,default,-1,0.3612,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,4,int8_pc_wo,default,-1,0.3674,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,4,int8_ent,default,-1,0.2589,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,-1,0.4735,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp16,default,-1,0.4735,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,int8_mm,default,-1,0.473,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,int8_pc_wo,default,-1,0.4736,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,int8_ent,default,-1,0.4412,,v3_7.11_ft_sweep,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,0,0.5711338215459647,,v3_7.11_noise_ft6,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,1,0.5163507823757482,,v3_7.11_noise_ft6,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,2,0.5451768327455077,,v3_7.11_noise_ft6,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,3,0.5597703162674678,,v3_7.11_noise_ft6,4,4,4,0.9732142857142857,False
T_g8_p97,6,fp32,default,4,0.5229850875121193,,v3_7.11_noise_ft6,4,4,4,0.9732142857142857,False
