triplet_sig,stage0_planes,stage1_planes,stage2_planes,stage0_rate,stage1_rate,stage2_rate,precision,lat_p50_ms,lat_p99_ms,lat_mean_ms,engine_size_mb,build_secs
032_040_032,32,40,32,0.5,0.6875,0.875,fp16,1.0731359720230103,1.0801932501792908,1.0640539139509202,6.37294,51.69948625564575
032_040_032,32,40,32,0.5,0.6875,0.875,int8,0.8939520120620728,0.9021468949317932,0.889142878651619,4.136932,119.09487438201904
032_040_136,32,40,136,0.5,0.6875,0.4688,fp16,1.1161600351333618,1.129543696641922,1.096132156252861,7.564444,52.56234955787659
032_040_136,32,40,136,0.5,0.6875,0.4688,int8,0.9214400053024292,0.9284813088178635,0.8963246434926987,5.356604,122.71136713027954
032_032_064,32,32,64,0.5,0.75,0.75,fp16,0.9615359902381897,1.0403942930698395,0.9936820766329766,6.241188,50.621070861816406
032_032_064,32,32,64,0.5,0.75,0.75,int8,0.8262720108032227,0.8929484844207763,0.8473824009299278,4.495124,120.75728011131287
016_040_072,16,40,72,0.75,0.6875,0.7188,fp16,0.8458240032196045,0.853812796473503,0.8407289639115334,6.13522,56.41186261177063
016_040_072,16,40,72,0.75,0.6875,0.7188,int8,0.618399977684021,0.6707199811935425,0.6382067200541496,4.867052,133.7263376712799
032_072_072,32,72,72,0.5,0.4375,0.7188,fp16,0.9801119863986969,1.0599375855922697,1.0060238420963288,6.623844,50.19281530380249
032_072_072,32,72,72,0.5,0.4375,0.7188,int8,0.7486239969730377,0.8161280155181885,0.7559062427282334,4.577996,116.72930216789246
024_040_024,24,40,24,0.625,0.6875,0.9062,fp16,0.8243200182914734,0.8314982533454895,0.8122446405887603,5.603972,58.48898386955261
024_040_024,24,40,24,0.625,0.6875,0.9062,int8,0.5731199979782104,0.6249670451879501,0.588848797082901,4.31262,132.38491225242615
040_064_072,40,64,72,0.375,0.5,0.7188,fp16,1.0147839784622192,1.0917730665206908,1.0254259157180785,6.203164,50.906479835510254
040_064_072,40,64,72,0.375,0.5,0.7188,int8,0.831167995929718,0.8377241605520248,0.8372852835059166,4.810732,121.09494352340698
024_040_072,24,40,72,0.625,0.6875,0.7188,fp16,0.8540160059928894,0.862017942070961,0.8260340800881386,6.352916,54.5728497505188
024_040_072,24,40,72,0.625,0.6875,0.7188,int8,0.6802560091018677,0.6840320229530334,0.6804851165413857,4.732852,131.41839504241943
040_064_136,40,64,136,0.375,0.5,0.4688,fp16,1.0373120307922363,1.1202122104167938,1.0594635307788849,7.406924,51.100926876068115
040_064_136,40,64,136,0.375,0.5,0.4688,int8,0.7741439938545227,0.8427827000617981,0.7870167988538742,5.211108,121.44023323059082
016_016_016,16,16,16,0.75,0.875,0.9375,fp16,0.6266880035400391,0.743549758195877,0.6552627182006836,4.922252,53.40242552757263
016_016_016,16,16,16,0.75,0.875,0.9375,int8,0.5005600154399872,0.5024988842010498,0.5004403173923493,3.371132,123.80030632019043
016_040_016,16,40,16,0.75,0.6875,0.9375,fp16,0.8089600205421448,0.9043549025058745,0.7973760005831718,5.700844,58.19304060935974
016_040_016,16,40,16,0.75,0.6875,0.9375,int8,0.5652480125427246,0.6160969793796539,0.5778144058585167,4.284332,133.3510069847107
032_064_072,32,64,72,0.5,0.5,0.7188,fp16,1.0577919483184814,1.0679369044303895,1.0382803091406823,6.06286,50.908149003982544
032_064_072,32,64,72,0.5,0.5,0.7188,int8,0.7492640018463135,0.8139871770143509,0.752912480533123,4.979916,120.7928478717804
024_024_072,24,24,72,0.625,0.8125,0.7188,fp16,0.7381599843502045,0.7526502490043641,0.7311569610238076,5.628212,53.953705072402954
024_024_072,24,24,72,0.625,0.8125,0.7188,int8,0.5447679758071899,0.5642240047454834,0.5309470357000827,4.224908,129.71344661712646
032_032_128,32,32,128,0.5,0.75,0.5,fp16,1.0670080184936523,1.0732886171340943,1.0469502440094949,7.224428,50.71922969818115
032_032_128,32,32,128,0.5,0.75,0.5,int8,0.8222079873085022,0.8939724922180176,0.8350027173757553,5.27406,118.32603597640991
016_032_136,16,32,136,0.75,0.75,0.4688,fp16,0.8763200044631958,0.8848364740610122,0.8769556778669357,7.231116,54.66216468811035
016_032_136,16,32,136,0.75,0.75,0.4688,int8,0.6359040141105652,0.6943430292606353,0.6460638457536697,5.125004,130.49720096588135
032_072_136,32,72,136,0.5,0.4375,0.4688,fp16,1.0168479681015015,1.0965635323524474,1.0198963218927384,7.841252,50.237298011779785
032_072_136,32,72,136,0.5,0.4375,0.4688,int8,0.8560640215873718,0.8612044811248779,0.8449627286195756,5.343964,123.45337700843811
024_064_072,24,64,72,0.625,0.5,0.7188,fp16,0.8430559933185577,0.8498736190795898,0.841134879887104,5.815332,53.05789017677307
024_064_072,24,64,72,0.625,0.5,0.7188,int8,0.6123520135879517,0.615434217453003,0.612558887898922,4.348604,126.87374448776245
024_032_064,24,32,64,0.625,0.75,0.75,fp16,0.8280799984931946,0.8356179052591324,0.8149118393659591,6.025468,56.45408010482788
024_032_064,24,32,64,0.625,0.75,0.75,int8,0.6041119992733002,0.6604902619123458,0.6150155228376388,4.308884,136.13502955436707
016_040_024,16,40,24,0.75,0.6875,0.9062,fp16,0.7500959932804108,0.8171622627973556,0.7772297647595405,5.571796,57.05404305458069
016_040_024,16,40,24,0.75,0.6875,0.9062,int8,0.609279990196228,0.6133862614631653,0.6070964756608009,3.820004,130.40502166748047
016_024_016,16,24,16,0.75,0.8125,0.9375,fp16,0.6768640279769897,0.7485507494211197,0.6805750423669815,4.723156,52.93359589576721
016_024_016,16,24,16,0.75,0.8125,0.9375,int8,0.503792017698288,0.5458630597591398,0.49279648184776303,3.227324,125.12064862251282
016_016_072,16,16,72,0.75,0.875,0.7188,fp16,0.644320011138916,0.7014598166942596,0.6618980830907821,5.677484,51.27762198448181
016_016_072,16,16,72,0.75,0.875,0.7188,int8,0.5660799741744995,0.5683199763298035,0.5660273677110672,4.129916,128.12396836280823
016_040_064,16,40,64,0.75,0.6875,0.75,fp16,0.7730399966239929,0.837642240524292,0.7904212743043899,5.928044,55.335500717163086
016_040_064,16,40,64,0.75,0.6875,0.75,int8,0.6583040058612823,0.66253821849823,0.6554848009347916,4.65706,129.78267192840576
024_040_128,24,40,128,0.625,0.6875,0.5,fp16,0.8335360288619995,0.8847564816474914,0.8348217672109604,7.541716,53.94715976715088
024_040_128,24,40,128,0.625,0.6875,0.5,int8,0.7091040015220642,0.7137897706031798,0.6918819198012351,5.681756,129.80130767822266
016_040_032,16,40,32,0.75,0.6875,0.875,fp16,0.8672800064086914,0.8745062232017518,0.8398291224241257,6.115324,54.340980052948
016_040_032,16,40,32,0.75,0.6875,0.875,int8,0.7107360064983368,0.7137299305200577,0.7111319962143898,4.878732,123.36006355285645
024_072_136,24,72,136,0.625,0.4375,0.4688,fp16,0.8755199909210205,0.8826908659934998,0.8699380815029144,7.055044,52.443336725234985
024_072_136,24,72,136,0.625,0.4375,0.4688,int8,0.6635519862174988,0.6674642914533615,0.6460479974746705,4.660956,128.5127809047699
024_024_016,24,24,16,0.625,0.8125,0.9375,fp16,0.6875680088996887,0.7260467052459717,0.6852932751178742,4.713836,51.99104285240173
024_024_016,24,24,16,0.625,0.8125,0.9375,int8,0.48126399517059326,0.5243289661407471,0.49994959980249404,3.437236,126.00724625587463
016_032_064,16,32,64,0.75,0.75,0.75,fp16,0.7576479911804199,0.8241298925876618,0.7838455989956856,6.100652,56.81122803688049
016_032_064,16,32,64,0.75,0.75,0.75,int8,0.638592004776001,0.6410239934921265,0.6384916806221008,4.232204,129.75483870506287
016_016_032,16,16,32,0.75,0.875,0.875,fp16,0.7813119888305664,0.7861571377515792,0.7736030367016792,5.03502,56.99812912940979
016_016_032,16,16,32,0.75,0.875,0.875,int8,0.5898240208625793,0.5928959846496582,0.5900678503513336,4.250236,129.8692502975464
024_032_032,24,32,32,0.625,0.75,0.875,fp16,0.7964320182800293,0.8671571213006973,0.8264097619056702,5.50426,54.01597213745117
024_032_032,24,32,32,0.625,0.75,0.875,int8,0.7086079716682434,0.7120048123598098,0.7073225581645965,4.031284,128.56981873512268
032_040_064,32,40,64,0.5,0.6875,0.75,fp16,1.0475519895553589,1.0560998344421386,1.0339187189936638,6.470028,50.508007287979126
032_040_064,32,40,64,0.5,0.6875,0.75,int8,0.822272002696991,0.8857804894447326,0.8488351944088935,4.928068,118.43766832351685
