cfg_id,triplet_sig,precision,d_scheme,d_tactic,d_workspace,build_success,lat_p50_ms,lat_p99_ms,lat_mean_ms,fail_reason
064_128_256_fp16_B_dla1_no_cudnn_2GB,064_128_256,fp16,B_dla1,no_cudnn,2GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_int8_A_gpu_default_1GB,064_128_256,int8,A_gpu,default,1GB,True,33.4236,34.1934,33.4329,""
064_128_256_int8_A_gpu_default_2GB,064_128_256,int8,A_gpu,default,2GB,True,33.4224,34.1011,33.3118,""
064_128_256_int8_A_gpu_no_cudnn_1GB,064_128_256,int8,A_gpu,no_cudnn,1GB,True,32.9027,33.0078,32.9125,""
064_128_256_int8_A_gpu_no_cudnn_2GB,064_128_256,int8,A_gpu,no_cudnn,2GB,True,33.3867,34.1289,33.2061,""
064_128_256_int8_B_dla0_default_1GB,064_128_256,int8,B_dla0,default,1GB,False,,,,"[05/11/2026-12:31:17] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla0_default_2GB,064_128_256,int8,B_dla0,default,2GB,False,,,,"[05/11/2026-12:31:27] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla0_no_cudnn_1GB,064_128_256,int8,B_dla0,no_cudnn,1GB,False,,,,"[05/11/2026-12:31:37] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla0_no_cudnn_2GB,064_128_256,int8,B_dla0,no_cudnn,2GB,False,,,,"[05/11/2026-12:31:46] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla1_default_1GB,064_128_256,int8,B_dla1,default,1GB,False,,,,"[05/11/2026-12:31:56] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla1_default_2GB,064_128_256,int8,B_dla1,default,2GB,False,,,,"[05/11/2026-12:32:06] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla1_no_cudnn_1GB,064_128_256,int8,B_dla1,no_cudnn,1GB,False,,,,"[05/11/2026-12:32:16] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_int8_B_dla1_no_cudnn_2GB,064_128_256,int8,B_dla1,no_cudnn,2GB,False,,,,"[05/11/2026-12:32:26] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
