config_id,model_class,source,is_real_measured,notes,amota,amotp,mAP,lat_e2e_ms,est_orin_fp16_ms,est_orin_int8_ms,est_orin_uncertainty_ms,extrapolation_warning,m2_f_factor,params_after_M,mem_peak_mb,NDS,recall,mota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm,d_runtime,d_pipelined,d_temporal_cache_int8,prune_rate__encoder_ffn,prune_rate__decoder_ffn,prune_rate__encoder_attn,prune_rate__decoder_attn,prune_rate__encoder_heads,prune_rate__decoder_heads,decoder_num_layers
v3_P1_20,uniad_tiny_variant,1.2_P1_FFN,True,UniV2X plan_b_active 4090 联合搜索实测,0.3054703318882421,1.516682719308004,0.0668689682176859,518.203,491.56218450113573,481.42811963823266,23.95317926183312,1.0,74.029,98.280285,,0.0613722145776281,0.4141042780748662,0.2837566844919786,channel,0.0,none,FP32,none,none,GPU,0.2,L1,FP32,none,none,GPU,0.2,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.2,0.2,0.0,0.0,0.0,0.0,6.0
v3_P1_30,uniad_tiny_variant,1.2_P1_FFN,True,UniV2X plan_b_active 4090 联合搜索实测,0.3189364455699283,1.525723813170029,0.0648456226363446,527.67,500.5406747513488,490.2260887778111,24.39077755453265,1.0,75.38142857142857,97.057293,,0.0596856025470897,0.4425133689839572,0.2934491978609626,channel,0.0,none,FP32,none,none,GPU,0.3,L1,FP32,none,none,GPU,0.3,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.3,0.3,0.0,0.0,0.0,0.0,6.0
v3_P1_40,uniad_tiny_variant,1.2_P1_FFN,True,UniV2X plan_b_active 4090 联合搜索实测,0.2973091702724501,1.532220923347711,0.0627816132933385,534.377,506.9015846603145,496.45910652568824,24.70079886531069,1.0,76.33957142857142,95.932797,,0.058447786750836,0.3940508021390374,0.2667112299465241,channel,0.0,none,FP32,none,none,GPU,0.4,L1,FP32,none,none,GPU,0.4,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.4,0.4,0.0,0.0,0.0,0.0,6.0
v3_P1_50,uniad_tiny_variant,1.2_P1_FFN,True,UniV2X plan_b_active 4090 联合搜索实测,0.2667773260459952,1.5715314338130963,0.0595431213112289,517.092,490.5085135739163,480.39563377005146,23.901824904255307,1.0,73.87028571428571,94.849341,,0.0566616752996505,0.3716577540106952,0.2506684491978609,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.5,0.5,0.0,0.0,0.0,0.0,6.0
v3_P1_60,uniad_tiny_variant,1.2_P1_FFN,True,UniV2X plan_b_active 4090 联合搜索实测,0.2365640636432951,1.6215946355796027,0.0561168360128594,502.5,476.66948011758285,466.8348472817522,23.227330947661716,1.0,71.78571428571429,93.626349,,0.0560600583492135,0.2827540106951872,0.2245989304812834,channel,0.0,none,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.6,0.6,0.0,0.0,0.0,0.0,6.0
v3_baseline,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.33,1.473,,515.544,489.0403924259993,478.9570305981842,23.830270857873256,1.0,73.64914285714285,100.627773,,,0.422,0.303,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
d2_baseline_no_overlap,uniad_tiny_variant,1.3_d,True,D2 流水未重叠 (baseline),,,,585.6,555.4814099573107,544.0621880971078,27.068507468558607,1.0,83.65714285714286,,2476.0,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
d2_baseline_pipelined,uniad_tiny_variant,1.3_d,True,D2 backbone-BEV 重叠 (理论稳态),,,,125.0,118.64898054481178,116.01269135158711,5.777943021806397,1.0,17.857142857142858,,2475.0,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,1,0,,,,,,,
d2_pruned_d14_enc10_dec07_pipelined,uniad_tiny_variant,1.3_d,True,D2 backbone-BEV 重叠 (理论稳态),,,,115.6,109.73403300578119,107.2769873363724,5.343441706566556,1.0,16.514285714285712,,2472.0,,,,channel,0.0,none,FP32,none,none,GPU,0.0,L1,FP32,none,none,GPU,0.3,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,1,0,,,,,,,
d3_baseline_fp16_1frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 fp16_1frame (),0.333,,0.074,535.0,507.4924370344439,497.0380792492499,24.729596133331377,1.0,76.42857142857143,,2496.0,,,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_fp16,0,0,,,,,,,
